country,region,iso,id,region_ascii
Afghanistan,Badakhshan,AFG,1,Badakhshan
Afghanistan,Badghis,AFG,2,Badghis
Afghanistan,Baghlan,AFG,3,Baghlan
Afghanistan,Balkh,AFG,4,Balkh
Afghanistan,Bamyan,AFG,5,Bamyan
Afghanistan,Farah,AFG,6,Farah
Afghanistan,Faryab,AFG,7,Faryab
Afghanistan,Ghazni,AFG,8,Ghazni
Afghanistan,Ghor,AFG,9,Ghor
Afghanistan,Hilmand,AFG,10,Hilmand
Afghanistan,Hirat,AFG,11,Hirat
Afghanistan,Jawzjan,AFG,12,Jawzjan
Afghanistan,Kabul,AFG,13,Kabul
Afghanistan,Kandahar,AFG,14,Kandahar
Afghanistan,Kapisa,AFG,15,Kapisa
Afghanistan,Khost,AFG,16,Khost
Afghanistan,Kunar,AFG,17,Kunar
Afghanistan,Kunduz,AFG,18,Kunduz
Afghanistan,Laghman,AFG,19,Laghman
Afghanistan,Logar,AFG,20,Logar
Afghanistan,Nangarhar,AFG,21,Nangarhar
Afghanistan,Nimroz,AFG,22,Nimroz
Afghanistan,Nuristan,AFG,23,Nuristan
Afghanistan,Paktika,AFG,24,Paktika
Afghanistan,Paktya,AFG,25,Paktya
Afghanistan,Parwan,AFG,26,Parwan
Afghanistan,Samangan,AFG,27,Samangan
Afghanistan,Sari Pul,AFG,28,Sari Pul
Afghanistan,Takhar,AFG,29,Takhar
Afghanistan,Uruzgan,AFG,30,Uruzgan
Afghanistan,Wardak,AFG,31,Wardak
Afghanistan,Zabul,AFG,32,Zabul
Åland,Brändö,ALA,1,Brando
Åland,Eckerö,ALA,2,Eckero
Åland,Finström,ALA,3,Finstrom
Åland,Föglö,ALA,4,Foglo
Åland,Geta,ALA,5,Geta
Åland,Hammarland,ALA,6,Hammarland
Åland,Jomala,ALA,7,Jomala
Åland,Kökar,ALA,8,Kokar
Åland,Kumlinge,ALA,9,Kumlinge
Åland,Lemland,ALA,10,Lemland
Åland,Lumparland,ALA,11,Lumparland
Åland,Mariehamn,ALA,12,Mariehamn
Åland,Saltvik,ALA,13,Saltvik
Åland,Sottunga,ALA,14,Sottunga
Åland,Sund,ALA,15,Sund
Åland,Vårdö,ALA,16,Vardo
Albania,Berat,ALB,1,Berat
Albania,Dibër,ALB,2,Diber
Albania,Durrës,ALB,3,Durres
Albania,Elbasan,ALB,4,Elbasan
Albania,Fier,ALB,5,Fier
Albania,Gjirokastër,ALB,6,Gjirokaster
Albania,Korçë,ALB,7,Korce
Albania,Kukës,ALB,8,Kukes
Albania,Lezhë,ALB,9,Lezhe
Albania,Shkodër,ALB,10,Shkoder
Albania,Tiranë,ALB,11,Tirane
Albania,Vlorë,ALB,12,Vlore
Algeria,Adrar,DZA,1,Adrar
Algeria,Aïn Defla,DZA,2,Ain Defla
Algeria,Aïn Témouchent,DZA,3,Ain Temouchent
Algeria,Alger,DZA,4,Alger
Algeria,Annaba,DZA,5,Annaba
Algeria,Batna,DZA,6,Batna
Algeria,Béchar,DZA,7,Bechar
Algeria,Béjaïa,DZA,8,Bejaia
Algeria,Biskra,DZA,9,Biskra
Algeria,Blida,DZA,10,Blida
Algeria,Bordj Bou Arréridj,DZA,11,Bordj Bou Arreridj
Algeria,Bouira,DZA,12,Bouira
Algeria,Boumerdès,DZA,13,Boumerdes
Algeria,Chlef,DZA,14,Chlef
Algeria,Constantine,DZA,15,Constantine
Algeria,Djelfa,DZA,16,Djelfa
Algeria,El Bayadh,DZA,17,El Bayadh
Algeria,El Oued,DZA,18,El Oued
Algeria,El Tarf,DZA,19,El Tarf
Algeria,Ghardaïa,DZA,20,Ghardaia
Algeria,Guelma,DZA,21,Guelma
Algeria,Illizi,DZA,22,Illizi
Algeria,Jijel,DZA,23,Jijel
Algeria,Khenchela,DZA,24,Khenchela
Algeria,Laghouat,DZA,25,Laghouat
Algeria,Mascara,DZA,27,Mascara
Algeria,Médéa,DZA,28,Medea
Algeria,Mila,DZA,29,Mila
Algeria,Mostaganem,DZA,30,Mostaganem
Algeria,M'Sila,DZA,26,M'Sila
Algeria,Naâma,DZA,31,Naama
Algeria,Oran,DZA,32,Oran
Algeria,Ouargla,DZA,33,Ouargla
Algeria,Oum el Bouaghi,DZA,34,Oum el Bouaghi
Algeria,Relizane,DZA,35,Relizane
Algeria,Saïda,DZA,36,Saida
Algeria,Sétif,DZA,37,Setif
Algeria,Sidi Bel Abbès,DZA,38,Sidi Bel Abbes
Algeria,Skikda,DZA,39,Skikda
Algeria,Souk Ahras,DZA,40,Souk Ahras
Algeria,Tamanghasset,DZA,41,Tamanghasset
Algeria,Tébessa,DZA,42,Tebessa
Algeria,Tiaret,DZA,43,Tiaret
Algeria,Tindouf,DZA,44,Tindouf
Algeria,Tipaza,DZA,45,Tipaza
Algeria,Tissemsilt,DZA,46,Tissemsilt
Algeria,Tizi Ouzou,DZA,47,Tizi Ouzou
Algeria,Tlemcen,DZA,48,Tlemcen
American Samoa,Eastern,ASM,1,Eastern
American Samoa,Manu'a,ASM,2,Manu'a
American Samoa,Unorganized,ASM,3,Unorganized
American Samoa,Western,ASM,4,Western
Andorra,Andorra la Vella,AND,1,Andorra la Vella
